,state,city,pflag,call_ltrs,month_tot_amt,month_dep_nml,24_hr_max,days_above_1,days_above_50,season_to_date,season_dep_nml,year_to_date_amt,year_to_date_dep_nml,year_to_date_pct_nml
103,MI,MUSKEGON      ,0,MKG,586.0,234.0,156.0,1.0,4.0,-999.0,-999.0,3630 ,1210,150.0
58,ID,BOISE         ,0,BOI,79.0,3.0,32.0,6.0,0.0,-999.0,-999.0,1300 , 434,150.0
80,KS,TOPEKA        ,0,TOP,251.0,-120.0,111.0,8.0,3.0,-999.0,-999.0,4341 ,1447,150.0
114,MO,JOPLIN        ,0,JLN,272.0,-250.0,134.0,7.0,2.0,-999.0,-999.0,5311 ,1794,151.0
118,MO,ST LOUIS      ,2,STL,171.0,-125.0,83.0,7.0,2.0,-999.0,-999.0,4477 ,1532,152.0
246,WY,CHEYENNE      ,0,CYS,51.0,-92.0,16.0,8.0,0.0,-999.0,-999.0,2063 , 706,152.0
86,KY,PADUCAH       ,0,PAH,32.0,-324.0,26.0,2.0,0.0,-999.0,-999.0,5614 ,1921,152.0
159,ND,GRAND FORKS   ,0,GFK,815.0,619.0,379.0,1.0,5.0,-999.0,-999.0,2499 , 866,153.0
170,OH,YOUNGSTOWN    ,0,YNG,452.0,63.0,289.0,7.0,3.0,-999.0,-999.0,4513 ,1564,153.0
248,WY,SHERIDAN      ,0,SHR,190.0,52.0,99.0,9.0,1.0,-999.0,-999.0,1812 , 628,153.0
194,SD,ABERDEEN      ,0,ABR,474.0,293.0,114.0,2.0,5.0,-999.0,-999.0,2686 , 942,154.0
